Year,     Jan,JanClass ,     Feb,FebClass ,     Mar,MarClass ,     Apr,AprClass ,     May,MayClass ,     Jun,JunClass ,     Jul, JulClass ,     Aug,AugClass ,     Sep, SepClass ,     Oct, OctClass,     Nov,NovClass ,     Dec,DecClass ,  Annual,AnnualClass ,  Winter, WinterClass ,  Spring, SpringClass,  Summer,SummerClass ,  Autumn, AutumnClass
1954,-26.8,Observed,-27.5,Observed,-18.1,Observed,-12.9,Observed,-1.8,Observed,1.5,Observed,4,Observed,2.4,Observed,-2.3,Observed,-5.3,Observed,-10.2,Observed,-26.4,Observed,-10.3,Observed,-24.7,Observed,-10.9,Observed,2.6,Observed,-5.9,Observed
1955,-20.9,Observed,-21.7,Observed,-20.9,Observed,-9.8,Observed,-3.6,Observed,0.3,Observed,4.5,Observed,2,Observed,-3.2,Observed,-11.1,Observed,-29,Observed,-32.3,Observed,-12.1,Observed,-23,Observed,-11.4,Observed,2.3,Observed,-14.4,Observed
1956,-30.6,Observed,-26,Observed,-20,Observed,-7.1,Observed,-2.3,Observed,0.8,Observed,4.8,Observed,3.4,Observed,-2.1,Observed,-9.2,Observed,-10.7,Observed,-28.8,Observed,-10.7,Observed,-29.6,Observed,-9.8,Observed,3,Observed,-7.3,Observed
1957,-29.2,Observed,-24.8,Observed,-18,Observed,-7.5,Observed,-0.9,Observed,3.8,Observed,4,Observed,4,Observed,1.1,Observed,-8.6,Observed,-13.7,Observed,-26.8,Observed,-9.7,Observed,-27.6,Observed,-8.8,Observed,3.9,Observed,-7.1,Observed
1958,-22.6,Observed,-23.7,Observed,-20.3,Observed,-5.8,Observed,-1.4,Observed,3.6,Observed,5.4,Observed,2.9,Observed,-2.9,Observed,-12.1,Observed,-17.3,Observed,-24.6,Observed,-9.9,Observed,-24.4,Observed,-9.2,Observed,4,Observed,-10.8,Observed
1959,-34.5,Observed,-21.7,Observed,-20,Observed,-7.7,Observed,-1.4,Observed,4.4,Observed,3.4,Observed,3.2,Observed,-0.5,Observed,-9.6,Observed,-16.3,Observed,-20.4,Observed,-10.1,Observed,-26.9,Observed,-9.7,Observed,3.7,Observed,-8.8,Observed
1960,-26.2,Observed,-21.3,Observed,-17.4,Observed,-8.6,Observed,-1.5,Observed,2.8,Observed,5,Observed,3.7,Observed,-0.5,Observed,-6.1,Observed,-19.6,Observed,-18.9,Observed,-9.1,Observed,-22.6,Observed,-9.2,Observed,3.8,Observed,-8.7,Observed
1961,-24.8,Observed,-22.1,Observed,-19.2,Observed,-7.5,Observed,-1.7,Observed,2.1,Observed,5.1,Observed,2.8,Observed,-2,Observed,-10.2,Observed,-22.9,Observed,-31.8,Observed,-11,Observed,-21.9,Observed,-9.5,Observed,3.3,Observed,-11.7,Observed
1962,-25.1,Observed,-24.5,Observed,-20.4,Observed,-5.8,Observed,-2.3,Observed,2.7,Observed,5.3,Observed,4.7,Observed,-0.9,Observed,-4,Observed,-14.7,Observed,-24.3,Observed,-9.1,Observed,-27.1,Observed,-9.5,Observed,4.2,Observed,-6.5,Observed
1963,-23.4,Observed,-19.6,Observed,-19,Observed,-9.6,Observed,-1.1,Observed,1.2,Observed,5.3,Observed,2.6,Observed,1.1,Observed,-4,Observed,-24.8,Observed,-20.8,Observed,-9.3,Observed,-22.4,Observed,-9.9,Observed,3,Observed,-9.2,Observed
1964,-27.6,Observed,-15,Observed,-22.8,Observed,-7.1,Observed,-3.6,Observed,4.5,Observed,5.1,Observed,2.2,Observed,-2,Observed,-6,Observed,-18.5,Observed,-33.9,Observed,-10.4,Observed,-21.1,Observed,-11.2,Observed,3.9,Observed,-8.8,Observed
1965,-28.7,Observed,-27.5,Observed,-9.3,Observed,-5.6,Observed,-1.9,Observed,1.4,Observed,4.7,Observed,2,Observed,0.5,Observed,-7.2,Observed,-22.4,Observed,-26.1,Observed,-10,Observed,-30,Observed,-5.6,Observed,2.7,Observed,-9.7,Observed
1966,-39.8,Observed,-24,Observed,-20.1,Observed,-7.3,Observed,-1.7,Observed,2.9,Observed,5.9,Observed,2.2,Observed,0.2,Observed,-9.7,Observed,-23.7,Observed,-24.5,Observed,-11.6,Observed,-30,Observed,-9.7,Observed,3.7,Observed,-11.1,Observed
1967,-28.2,Observed,-25.1,Observed,-21.8,Observed,-8.4,Observed,-1.4,Observed,4.2,Observed,5,Observed,3.4,Observed,0,Observed,-5.2,Observed,-13.9,Observed,-24.4,Observed,-9.7,Observed,-25.9,Observed,-10.5,Observed,4.2,Observed,-6.4,Observed
1968,-25.6,Observed,-19,Observed,-13.2,Observed,-7.8,Observed,-1.9,Observed,2.5,Observed,6,Observed,4,Observed,0.1,Observed,-8.7,Observed,-18.4,Observed,-33.8,Observed,-9.7,Observed,-23,Observed,-7.6,Observed,4.2,Observed,-9,Observed
1969,-38.1,Observed,-27.7,Observed,-15.6,Observed,-5.2,Observed,-1.4,Observed,4.3,Observed,4.9,Observed,1,Observed,0.3,Observed,-5.6,Observed,-16.8,Observed,-19.4,Observed,-9.9,Observed,-33.2,Observed,-7.4,Observed,3.4,Observed,-7.4,Observed
1970,-25.3,Observed,-16.5,Observed,-14.1,Observed,-5.7,Observed,-1.4,Observed,0.9,Observed,3.2,Observed,2.1,Observed,-1.2,Observed,-8.8,Observed,-17.1,Observed,-28.5,Observed,-9.4,Observed,-20.4,Observed,-7.1,Observed,2.1,Observed,-9,Observed
1971,-35.2,Observed,-20.4,Observed,-21,Observed,-6.9,Observed,-2.7,Observed,NA,Missing,5.9,Observed,3.3,Observed,-1.4,Observed,-8.6,Observed,-20.6,Observed,-30.4,Observed,NA,Missing,-28,Observed,-10.2,Observed,NA,Missing,-10.2,Observed
1972,-37,Observed,-31.4,Observed,-21.8,Observed,-12.3,Observed,-2.7,Observed,1.7,Observed,5.6,Observed,4.5,Observed,-3.2,Observed,-9.9,Observed,-17.9,Observed,-27.9,Observed,-12.7,Observed,-32.9,Observed,-12.3,Observed,3.9,Observed,-10.3,Observed
1973,-32.6,Observed,-27.9,Observed,-16.8,Observed,-5.7,Observed,-2.1,Observed,1.6,Observed,4.5,Observed,1.4,Observed,-3.2,Observed,-6.7,Observed,-25.3,Observed,-27.2,Observed,-11.7,Observed,-29.5,Observed,-8.2,Observed,2.5,Observed,-11.7,Observed
1974,-33.7,Observed,-23,Observed,-21.6,Observed,-7.7,Observed,-1.3,Observed,1.5,Observed,4.2,Observed,2.2,Observed,-1.1,Observed,-5.5,Observed,-14.8,Observed,-19.4,Observed,-10,Observed,-28,Observed,-10.2,Observed,2.6,Observed,-7.1,Observed
1975,-26.8,Observed,-25.7,Observed,-20.6,Observed,-6.6,Observed,-2.4,Observed,1.4,Observed,5.7,Observed,3,Observed,0.4,Observed,-5.9,Observed,-24.3,Observed,-31.8,Observed,-11.1,Observed,-24,Observed,-9.9,Observed,3.4,Observed,-9.9,Observed
1976,-24.2,Observed,-25.1,Observed,-18.6,Observed,-5.3,Observed,-1.4,Observed,3,Observed,4.3,Observed,3,Observed,-0.6,Observed,-5.5,Observed,-7.5,Observed,-19.7,Observed,-8.1,Observed,-27,Observed,-8.4,Observed,3.4,Observed,-4.5,Observed
1977,-15.8,Observed,-13,Observed,-14.1,Observed,-4.3,Observed,-2.2,Observed,2.5,Observed,5.5,Observed,4.8,Observed,-1.6,Observed,-5.5,Observed,-21.9,Observed,-33.8,Observed,-8.3,Estimated,-16.2,Observed,-6.9,Observed,4.3,Observed,-9.7,Estimated
1978,-26.7,Observed,-21.9,Observed,-14.3,Observed,-6.3,Observed,-1.8,Observed,2,Observed,3.9,Observed,4.1,Observed,1.5,Observed,-2.6,Observed,-16.4,Observed,-20.6,Estimated,-8.3,Estimated,-27.5,Observed,-7.5,Observed,3.3,Observed,-5.8,Observed
1979,-28.7,Observed,-33.5,Observed,-9.1,Observed,-6.8,Observed,-1,Observed,3.6,Observed,6.5,Observed,4,Observed,-0.3,Observed,-3,Observed,-12.4,Observed,-26,Observed,-8.9,Estimated,-27.6,Estimated,-5.6,Observed,4.7,Observed,-5.2,Estimated
1980,-24.4,Observed,-12.9,Observed,-13.6,Observed,-4.5,Observed,-2.2,Observed,3.3,Observed,5.8,Observed,2.3,Observed,-0.7,Observed,-3.3,Observed,-11.7,Observed,-34.2,Observed,-8,Observed,-21.1,Observed,-6.8,Observed,3.8,Observed,-5.2,Observed
1981,-10.4,Estimated,-17.7,Observed,-9.2,Observed,-7.1,Observed,-0.3,Observed,1.7,Estimated,6,Observed,6.2,Observed,-1.1,Observed,-4,Observed,-11.9,Observed,-25.4,Observed,-6.1,Estimated,-20.8,Estimated,-5.5,Observed,4.6,Estimated,-5.7,Observed
1982,-36.3,Observed,-22.5,Estimated,-16.8,Observed,-8.4,Observed,-2.5,Observed,2.1,Observed,4.7,Observed,3.4,Observed,-0.6,Observed,-8.6,Observed,-19.6,Observed,NA,Missing,NA,Missing,-28.1,Estimated,-9.2,Observed,3.4,Observed,-9.6,Observed
1983,-27.2,Observed,-21.6,Estimated,-17.6,Observed,-6,Estimated,-0.5,Estimated,4.2,Observed,4.7,Observed,3,Observed,-4.6,Observed,-7.7,Observed,-18.6,Observed,NA,Missing,NA,Missing,NA,Missing,-8,Estimated,4,Observed,-10.3,Observed
1984,-20.1,Observed,-15.6,Observed,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,-19.4, ,-26.3, ,NA,M,NA,M,NA,M,NA,M,NA,M
1985,-12.2,Observed,NA,Missing,-14.4,Observed,-7.8,Observed,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1986,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1987,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1988,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1989,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1990,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1991,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,2.9,Estimated,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1992,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1993,-26.1,Estimated,-21,Observed,-18,Estimated,-3.8, ,0.6,E,3.9, ,7.2,Estimated,5.1,Estimated,0.6,Estimated,-3.3,Estimated,-14.8, ,-17.2,E,-7.2,E,NA,M,-7.1,E,5.4,E,-5.8,E
1994,-23,Estimated,NA,Missing,NA,Missing,NA,Missing,NA,Missing,3.9,Estimated,6.1,Estimated,5.9, ,0.4, ,-4.1,Estimated,-20.5, ,-25.3, ,NA,Missing,NA,Missing,NA,Missing,5.3,E,-8.1,E
1995,-23.9,Estimated,-20.9,Estimated,-17.2,E,-3.9,Estimated,0.8, ,4.3, ,6.6, ,4.6, ,2.9,Estimated,-5.3, ,-18.9, ,-23.6, ,-7.9,E,-23.4,E,-6.8,E,5.2, ,-7.1,E
1996,NA,Missing,-17.7,Observed,-16.3,Observed,-7.1,Observed,-0.6,Observed,3.7,Observed,5.1,Observed,3.4,Estimated,-0.8,Observed,-9.1,Observed,-22.6,Observed,-26.2,Observed,NA,Missing,NA,Missing,-8,Observed,4.1,Estimated,-10.8,Observed
1997,-27.3,Observed,-12.3,Observed,-15.9,Observed,-3.7,Observed,1,Observed,5.8,Observed,7.8,Observed,5,Estimated,1.7,Estimated,-9.3,Observed,-12.8,Observed,-16,Observed,-6.3,Estimated,-21.9,Observed,-6.2,Observed,6.2,Estimated,-6.8,Estimated
1998,-26.3,Estimated,-17.5,Observed,-16,Observed,-2.7,Observed,0.8,Observed,4.2,Observed,6.1,Observed,3.1,Estimated,0.4,Observed,-4,Estimated,-15.6,Observed,-23.7,Observed,-7.6,Estimated,-19.9,Estimated,-6,Observed,4.5,Estimated,-6.4,Estimated
1999,-28.9,Observed,-26.5,Estimated,-14.8,Observed,-5.3,Observed,-0.2,Observed,5.3,Estimated,7,Observed,3.8,Observed,0.8,Observed,-3.3,Observed,-17.8,Observed,-17.2,Observed,-8.1,Estimated,-26.4,Estimated,-6.8,Observed,5.4,Estimated,-6.8,Observed
2000,-21.3,Estimated,-16.1,Observed,-11,Observed,-4.3,Observed,0.8,Observed,4.9,Observed,6.2,Observed,4.5,Observed,0.3,Observed,-3.9,Estimated,-11.9,Observed,-21.4,Estimated,-6.1,Estimated,-18.2,Estimated,-4.8,Observed,5.2,Observed,-5.2,Estimated
2001,-14.1,Observed,-20.7,Observed,NA,M,NA,M,-0.1,E,5.9,E,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,NA,M,-18.7,E,NA,M,NA,M,NA,M
2002,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
2003,NA,Missing,NA,Missing,-16.5,Estimated,-9.1, ,-2.5, ,3.5,E,6.2,E,2.7, ,-1.8, ,-6.3, ,-19.5, ,-22.5, ,NA,Missing,NA,Missing,-9.4,E,4.1,E,-9.2, 
2004,-29.9,Observed,-14.6,Observed,NA,M,-5.2, ,0.6, ,5.7, ,7.4, ,4.8, ,-0.7,E,-5.9, ,-14.8, ,-20.5, ,NA,M,-22.3, ,NA,M,6, ,-7.1,E
2005,-23.6,Observed,-19.6,Observed,-8.3,Observed,-5,Observed,-1.4,Estimated,5.1,Observed,NA,Missing,5.3,Observed,0.4,Observed,-6.6,Observed,-13.3,Observed,-15.1,Observed,NA,Missing,-21.2,Observed,-4.9,Estimated,NA,Missing,-6.5,Observed
2006,-25,Observed,-20.7,Observed,-18.6,Observed,-5.9,Observed,-0.1,Observed,2.2,Observed,5.5,Observed,3.2,Observed,0.4,Observed,-5.6,Observed,-27.1,Observed,-17.4,Observed,-9.1,Observed,-20.3,Observed,-8.2,Observed,3.6,Observed,-10.8,Observed
2007,-23.2,Observed,-24.2,Observed,-21.4,E,-8.6, ,-1.7,E,5.1, ,7, ,4.1, ,0.2, ,-5.1, ,-15.2, ,-25.1, ,-9,E,-21.6, ,-10.6,E,5.4, ,-6.7, 
2008,-27.1,Observed,-22.3,Observed,-14.1,Observed,-6.8,Observed,-0.5,Observed,2.6,Observed,3.9,Observed,3.7,Observed,-1.3,Observed,-7.1,Estimated,-17.7,Observed,-27.4,Observed,-9.5,Estimated,-24.8,Observed,-7.1,Observed,3.4,Observed,-8.7,Estimated
2009,-25.2,Observed,-25.7,Observed,-19.1,Observed,-7.1,Observed,-1.8,Estimated,2.3,Observed,6.8,Observed,4.4,Observed,-0.4,Observed,-4.4,Observed,-17.9,Observed,-21.4,Observed,-9.1,Estimated,-26.1,Observed,-9.3,Estimated,4.5,Observed,-7.6,Observed
2010,-21.4,Estimated,-15.5,Observed,-10.5,Observed,-6.4,Observed,-1,Observed,2.8,Estimated,5.2,Observed,4,Observed,0.4,Observed,-5.7,Observed,-13.3,Observed,-26.9,Observed,-7.4,Estimated,-19.4,Estimated,-6,Observed,4,Estimated,-6.2,Observed
2011,-21.5,Observed,-22.6,Observed,-21.5,Observed,-5.4,Observed,-0.6,Estimated,4,Observed,5.4,Observed,3,Observed,-1.3,Observed,-6.2,Observed,-21.8,Observed,-15.8,Observed,-8.7,Estimated,-23.7,Observed,-9.2,Estimated,4.1,Observed,-9.8,Observed
2012,-26.3,Observed,-15.1,Observed,-16.2,Observed,-5.4,Observed,-0.5,Observed,4.1,Observed,4.2,Observed,4.1,Observed,0.9,Estimated,-8.8,Observed,-21.4,Observed,-28.2,Observed,-9.1,Estimated,-19.1,Observed,-7.4,Observed,4.1,Observed,-9.8,Estimated
2013,-21.1,Observed,-14.8,Observed,-19.2,Observed,-9.6,Observed,0.3,Observed,6.2,Observed,7.4,Estimated,NA,Missing,NA,Missing,-4.6,Estimated,NA,Missing,-26.5,Estimated,NA,Missing,-21.4,Observed,-9.5,Observed,NA,Missing,NA,Missing
2014,-14.6,Observed,-27.8,Observed,-18.6,Observed,-7.1,Observed,0,Estimated,2,Estimated,6,Observed,3.5,Estimated,0.4,Observed,-4.4,Observed,-17.1,Observed,-19.2,Observed,-8.1,Estimated,-23,Estimated,-8.6,Estimated,3.8,Estimated,-7,Observed
2015,-18.1,Observed,-19.5,Observed,-11.6,E,-5.1, ,-0.4, ,5.2, ,5.8, ,3.8, ,0.1, ,-4.9, ,-14.1, ,-20.9,E,-6.6,E,-18.9, ,-5.7,E,4.9, ,-6.3, 
2016,-15.6,Observed,-16.2,Estimated,-11.9,Observed,-4.3,Estimated,0,Observed,4.1,Estimated,7.3,Estimated,6.2,Estimated,-1.2,Observed,-10.8,Estimated,-14.7,Estimated,-26.4,Observed,-7,Estimated,-17.6,Estimated,-5.4,Estimated,5.9,Estimated,-8.9,Estimated
2017,-21.9,Observed,-21.3,Observed,-18.9,Observed,-5.2,Observed,-0.7,Observed,4.2,Estimated,5.7,Estimated,4.5,Observed,-0.1,Estimated,-5.2,Observed,-21.5,Observed,-19.6,Estimated,-8.3,Estimated,-23.2,Observed,-8.3,Observed,4.8,Estimated,-8.9,Estimated
